Video ID,Date,Channel ID,Title
T80VOqmMd5I,2017-10-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Beyond Your Browser - GitHub Satellite 2017
3mV-jIObiBw,2017-10-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,From WiT to WiTtier - Growing a Women in Tech community in Nottingham - GitHub Satellite 2017
bUxXjfmUDYs,2017-10-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Teaching GitHub Flow with LEGO and Arduino - GitHub Satellite 2017
moDdhDxzg2k,2017-10-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git Tips & Tricks - GitHub Satellite 2017
CBJMCt9bAbM,2017-10-06,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Secret Life of Monoliths - GitHub Satellite 2017
PpFaKCzKsYA,2017-10-06,UC7c3Kb6jYCRj4JOHHZTxKsQ,Integrating With GitHub - GitHub Satellite 2017
o_MBuszB39M,2017-10-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,Opening Keynote - GitHub Satellite 2017
TlQcwNnqpnE,2017-10-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Power of the Open Source Community - GitHub Satellite 2017
_HjToekoEMk,2017-05-22,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Marketplace
8CUPVB8tKoY,2017-05-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git Simple: Writing primary git functionalities in Ruby - Git Merge 2017
WfwwFyE-ckQ,2017-05-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,Repo 911 - Git Merge 2017
2UKd0YMuc-M,2017-05-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,Greatest Hits of the Git Maintainers Room - Git Merge 2017
M75aENmuzmo,2017-05-19,UC7c3Kb6jYCRj4JOHHZTxKsQ,Jedi Mind Tricks for Git - Git Merge 2017
0EubYhsX-No,2017-05-19,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Battle for Sub-premacy - Git Merge 2017
54Yh0YyC-4Q,2017-05-18,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Git and the Terrible, Horrible, No Good, Very Bad Day - Git Merge 2017"
GRO9Ho8iXds,2017-05-18,UC7c3Kb6jYCRj4JOHHZTxKsQ,Trust But Verify - Git Merge 2017
usQgAy8YDVA,2017-05-17,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git for Pair Programming - Git Merge 2017
_gyLZVjekbo,2017-05-17,UC7c3Kb6jYCRj4JOHHZTxKsQ,Lightning Talks - Git Merge 2017
3IIaOj1Lhb0,2017-05-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git Aliases of the Gods!  - Git Merge 2017
Q7i_qQW__q4,2017-05-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git LFS at Light Speed - Git Merge 2017
gOVD-DrUpwQ,2017-05-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,Scaling Mercurial at Facebook: Insights from the Other Side - Git Merge 2017
-AQl98fItmQ,2017-05-24,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git: The Tool Loved and (sometimes) Feared - Git Merge 2017
31XZYMjg93o,2017-05-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,What’s Wrong With Git? - Git Merge 2017
g_MPGU_m01s,2017-05-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Scaling Git at Microsoft - Git Merge 2017
-ZNKR9wFe8o,2017-05-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Top Ten Worst Repositories to host on GitHub - Git Merge 2017
CKwuPQqOi_4,2017-05-03,UC7c3Kb6jYCRj4JOHHZTxKsQ,Software Freedom Conservancy - Git Merge 2017
PqBatpCmRf0,2017-06-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Crescent Wrenches, Socket Sets, and Other Tools For Debugging - CodeConf 2016"
KoUhdhZmdWM,2017-06-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Twitter Heron In Practice - CodeConf 2016
RRf6ye7GSB0,2017-06-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Enabling Data-Driven Public-Private Collaborations - CodeConf 2016
EMOnUvcnHa0,2017-06-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Behavior Design: Teaching Your Users' Security - CodeConf 2016
_sJTbLvhTVg,2017-06-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Design for Non-Designers - CodeConf 2016
Usgh19es_oE,2017-06-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,"From closed to open, a tale about Parse - CodeConf 2016"
PRAT0BK6Ahw,2017-06-06,UC7c3Kb6jYCRj4JOHHZTxKsQ,The HashiCorp Formula to Open Source - CodeConf 2016
GBj7xOtue0c,2017-06-06,UC7c3Kb6jYCRj4JOHHZTxKsQ,Emerging Models for Open Source Contributions - CodeConf 2016
G3Z0F8Tw13Y,2017-06-06,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Let's Encrypt: A Free, Automated, and Open Certificate Authority - CodeConf 2016"
-wSwlLeKFdE,2017-06-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,What happens when military veterans learn to code - CodeConf 2016
MGKKqE915ag,2017-06-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,Lending Privilege - CodeConf 2016
OsOZpF6LFcw,2017-06-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Open Source Contributor Funnel: Turning Users Into Maintainers - CodeConf 2016
d6iFXlsObFI,2017-06-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,The heart of npm - CodeConf 2016
RHDP_KCrjUc,2017-06-03,UC7c3Kb6jYCRj4JOHHZTxKsQ,Distributed Consensus with Raft - CodeConf 2016
56ftygaP68I,2017-06-03,UC7c3Kb6jYCRj4JOHHZTxKsQ,Natural language analysis of Bowie's personas - CodeConf 2016
407nwX6__70,2017-06-03,UC7c3Kb6jYCRj4JOHHZTxKsQ,Rust's Community Automation - CodeConf 2016
NE9253C3isY,2017-06-03,UC7c3Kb6jYCRj4JOHHZTxKsQ,Rust: Systems Programming for Web Developers - CodeConf 2016
SdVlJVevgeQ,2017-06-02,UC7c3Kb6jYCRj4JOHHZTxKsQ,12 Factor Apps and Kubernetes - CodeConf 2016
yiiDFRs62lQ,2017-06-02,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Perfect Programming Language - CodeConf 2016
tvymSWfvkjw,2017-05-03,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git Merge 2017 Recap
paS09pRV8bY,2017-02-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Maintainer Stories — Amjith Ramanujam
us_3IGG6leM,2017-02-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Maintainer Stories — Eric Holscher
MjKwvdF7SrA,2017-02-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Maintainer Stories — Katrina Owen
w3jLJU7DT5E,2016-12-19,UC7c3Kb6jYCRj4JOHHZTxKsQ,What is GitHub?
6VTYwbnZdQM,2016-11-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Octocat Plushie
z_4B9oVGa3k,2016-10-26,UC7c3Kb6jYCRj4JOHHZTxKsQ,The People's Code - GitHub Universe 2016
rN4cMAGPRQ0,2016-10-12,UC7c3Kb6jYCRj4JOHHZTxKsQ,Introducing New Workflow Improvements: Code Review & Projects - GitHub Universe 2016
uG1zzGNPDnU,2016-10-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Game Off Returns
Uflvf8l0NLY,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Developing Open Source in Service to National Security - GitHub Universe 2016
DY0yNRNkYb0,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building Reliability with Spokes - GitHub Universe 2016
fJpp0s_GN3s,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Transforming Tribal Knowledge into Learning Trees - GitHub Universe 2016
5ABos9UTfJU,2016-10-25,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building and Scaling a Distributed and Inclusive Team - GitHub Universe 2016
jArFW_GpxE4,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Crossing the Canyon of Cognizance: A Shared Adventure - GitHub Universe 2016
FdH8-4tV8v8,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Measuring the Value of GitHub Enterprise - GitHub Universe 2016
FNHBfN8c32U,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Electron: Desktop Apps with Web Languages - GitHub Universe 2016
tFIOu_KEr-4,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Crossing the Language Divide in Open Source Projects - GitHub Universe 2016
LsxDxL4PYik,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Tips & Tricks: Gotta Git Them All - GitHub Universe 2016
Eqg_IqVeI5s,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Making Electron Development Simpler, More Pleasant, and More Productive - GitHub Universe 2016"
pJFM321_lAs,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Code Review is an Architectural Necessity - GitHub Universe 2016
0CLYWi8wSyk,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Making online collaboration safer at GitHub - GitHub Universe 2016
_dk4SxkpLc8,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Integrations - GitHub Universe 2016
yQZ7JBh9VDU,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Pains & Gains: Five Short Stories - GitHub Universe 2016
dKGSVTNw7ZU,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,"YesSQL, process and tooling at scale - GitHub Universe 2016"
wPPFhcqGcvk,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Implementing and Using GraphQL at GitHub - GitHub Universe 2016
sDKN-xyqcNc,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,"InnerSource: Reaping the Benefits of Open Source, Behind Your Firewall"
2zksJnRSgv0,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,gh-ost: GitHub's online schema migrations tool for MySQL - GitHub Universe 2016
UB283wKxiqU,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Managing GitHub at Scale - GitHub Universe 2016
8Nvg-MMtN_A,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,Lending Privilege - GitHub Universe 2016
juLIxo42A_s,2016-09-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,The GitHub Flow - GitHub Universe 2016
W0bVyxi38Bc,2016-09-23,UC7c3Kb6jYCRj4JOHHZTxKsQ,Machines Making Movies - GitHub Universe 2016
ivsfZjvc1-4,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,99% Invisible - GitHub Universe 2016
4Iem6JK6PtY,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,Blurry Lines - GitHub Universe 2016
yvB6BqYs2T0,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,How GOV.UK Changed Government - GitHub Universe 2016
rzwdi4iSzBQ,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Police Data Initiative - GitHub Universe 2016
aDOGeBqEDsA,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,Fireside Chat with Bret Taylor - GitHub Universe 2016
u9s_W8lCrDU,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,Opening Keynote - GitHub Universe 2016
0A-u1tQTBqo,2016-09-20,UC7c3Kb6jYCRj4JOHHZTxKsQ,The New Developer - GitHub Universe 2016
qwLDACQeWBI,2016-09-14,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Universe - We Have Wift Off!
afvT1c1ii0c,2016-09-14,UC7c3Kb6jYCRj4JOHHZTxKsQ,How we build software.
eLUegWCIeOA,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Satellite 2016
cwz3U82mC-Y,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,The API flow - GitHub Satellite 2016
He-yMYcJLig,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Staying sane with small incremental releases - GitHub Satellite 2016
YRH6NvYaBk4,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Optimizing for cognitive workflows - GitHub Satellite 2016
f2-twfkbdiE,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Inspiring innovation in a new era of technology - GitHub Satellite 2016
_7XP0RWZt0U,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Social Coding at SAP - GitHub Satellite 2016
SA1h34ESWqQ,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Collaborating with Hubot for a more efficient DevOps workflow - GitHub Satellite 2016
ANEv_7X7NA8,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Using pull requests to drive continuous delivery - GitHub Satellite 2016
Tde6YQtudWw,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,How we built GOV.UK without breaking the web - GitHub Satellite 2016
WVb2OD49pUA,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building cross-platform apps with Electron - GitHub Satellite 2016
lJVrKhrsHvU,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Growing and maintaining an open source project - GitHub Satellite 2016
DiMkf2p2PvI,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Prototyping the Internet of Things - GitHub Satellite 2016
UaqulMz5npk,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,In pursuit of open source security - GitHub Satellite 2016
cUHxaAOfj1A,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building GitHub - GitHub Satellite 2016
HMV39N-UgFY,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Closing Keynote - GitHub Satellite 2016
DoQiiE5oNOU,2016-07-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,Opening Keynote - GitHub Satellite 2016
J8e5tmGJrLo,2016-11-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git Merge 2016 Recap
i7AvltW48Xk,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"The Coding Chef: Optimizing Tools & Workflows, Juan Pablo Buritica - Git Merge 2016"
rKgBV4yfK3g,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Git Is Taking Over Microsoft, Saeed Noursalehi - Git Merge 2016"
Y2Msq90ZknI,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Dissecting Git's Guts, Emily Xie - Git Merge 2016"
bQBE7Ky7xs8,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Version Controlled CI and CD, Sytse ""Sid"" Sijbrandij - Git Merge 2016"
d-T51nhmFhQ,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"20 Tricks with Git and Shell, Spencer Krum - Git Merge 2016"
W_gtQthk-bQ,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Git for Static Websites, Ryan Hodson - Git Merge 2016"
MlBj0znSoMo,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Tracking Huge Files with Git LFS, Tim Pettersen - Git Merge 2016"
DvMfNfjcYJg,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Repo factoring, Charles Bailey - Git Merge 2016"
TG_MxBNCsaQ,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"From CLI to GUI: Overcoming Challenges to Advance Git, John Haley & Hamid Shojaee - Git Merge 2016"
z2kEpFF8l1Q,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Change Needs Management, Emily Jane Hogbin Westby - Git Merge 2016"
b3P2efnryfs,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Adopt Git at Scale and Stay Sane, Lars Schneider - Git Merge 2016"
f7ecUqHxD7o,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Scaling at GitHub, Patrick Reynolds - Git Merge 2016"
vyenmLqJQjs,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Linux Kernel Development, Greg Kroah-Hartman - Git Merge 2016"
rrPTGjDjqlQ,2016-11-16,UC7c3Kb6jYCRj4JOHHZTxKsQ,Optimizing for cognitive workflows - Laurent Ploix
LreQfx5x740,2016-04-05,UC7c3Kb6jYCRj4JOHHZTxKsQ,Octotales • Fred Hutch
OeBZUW-9i0M,2016-03-15,UC7c3Kb6jYCRj4JOHHZTxKsQ,Octotales: MailChimp
jpMmboYadnA,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git and GitHub Secrets - GitHub Universe 2015
NqqmafB4fAg,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Changing Lives with Open Data - GitHub Universe 2015
0MQihfI_OMA,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Security Best Practices - GitHub Universe 2015
F8hxDhtyNEw,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Offline Web Apps on GitHub Pages - GitHub Universe 2015
0jA2YrC1X4k,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Metrics-Driven Development - GitHub Universe 2015
QNixDNtwYJ0,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,From Perforce To Git: Lessons Learned - GitHub Universe 2015
x2fd8HHk5xM,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Integrating with the GitHub API - GitHub Universe 2015
kSnHQREBaXo,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Beyond Saas: Building for Enterprise - GitHub Universe 2015
Sq2HiOE0cTY,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Rethinking Production Monitoring - GitHub Universe 2015
_dkeD3OZ218,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Electron: Desktop Apps with Web Languages - GitHub Universe 2015
