Video_ID,Title,Channel,Publish_Date,Publish_Time,Views,Likes,Disliked,Comment_Count,Video_Tags,Video_Description
oFjffeGcbV4,Driving ethical change for AI across your organization - GitHub Universe 2019,GitHub,2019-12-17,04:59:50,2018,27,27,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'ethical tech', 'AI', 'bias in tech']","Presented by Andrea Gallego, CTO at BCG GAMMA GlobalAs AI becomes more prevalent in our workplaces, it is imperative that solutions are deployed ethically. Organizations need to be cognizant of how they collect and use data, the products they leverage, and the biases that could applied. Most importantly, we need to make sure those who develop algorithms are as diverse as the societies they serve, and that they have the ability to harness the interests and needs of their users. Andrea Gallego, CTO of BCG GAMMA, will explain how GitHub is used by GAMMA’s software and data engineers, data scientists, and analysts to check that unique perspectives and insights are curated and nurtured, and collaboration is tracked and supported across the organization—making GAMMA’s AI solutions more ethical, inclusive, and comprehensive. This talk will help you answer the question: How can we make sure the intelligence we gain from innovations is created and managed ethically?About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
GayKuDpi97o,Don't be a robot: Automating workflows at scale - GitHub Universe 2019,GitHub,2019-12-17,01:59:48,821,12,12,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'automation', 'bots', 'automating workflow']","Presented by Mariatta Wijaya, Backend Engineer and Python Core Developer at ZapierManaging a large open source project like CPython is no easy task. Learn how the Python core team automated their GitHub workflow with bots, making it easier for maintainers and contributors to collaborate together. Even if you’re not managing a large project, you can still build your own bot! Hear some ideas on what you can automate and personalize on GitHub to build at your best. Don’t be a robot, build one.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
CFvwIX-gjSI,Panel: Open source in Africa - GitHub Universe 2019,GitHub,2019-12-09,17:55:41,643,34,34,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'tech in africa', 'afrotech', 'open source in africa']","Presented by:Samson Goddy, Oversight Board at Sugar LabsSonia John, Bot & Protocol Developer at AfrolynkLunga Mthembu, Software Developer at OpenUpDavid Lemayian, Chief Technologist / CTO at Code for AfricaHow can open source be a transformative force for growing economies? This panel brings together open source maintainers and advocates from across the African continent, to share stories about how open source software is creating new opportunities across the commercial and government sectors, and generally bringing about positive change for the continent and beyond.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
D0p572DrNfI,Building an open source community from the ground up - GitHub Universe 2019,GitHub,2019-12-17,01:59:49,2241,60,60,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'open source community', '30secondsofcode', 'open source maintainer']","Presented by Stefen Fejes, UI Engineer at 30 SecondsWonder what's it's like to grow one of the fastest growing open source projects before graduating from high school? Since it's release, 30secondsofcode.org was nominated as the 6th fastest growing open source project by GitHub in 2018, gathered over 45,000 stars, made it to Hacktoberfest trending lists, and started series of education projects used by thousands of developers daily. Growing an organization of this size isn't easy, especially when a newbie is running it. Stefan will share some of his most inspiring and challenging moments of running the organization—and share tips for maintainers and teams starting their own open source projects.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
GCLgdOiPA6o,The city guide to open source - GitHub Universe 2019,GitHub,2019-12-17,01:59:48,1009,28,28,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'open source economy', 'digital infrastructure', 'civic hacking', 'software community']","Presented by Devon Zuegel, Product Manager of the Open Source Economy Team at GitHubWhat can cities teach open source about governance, funding, and managing limited resources?In this talk, we'll take a stroll through von Haussmann's Paris, the subways of NYC and Hong Kong, the streets of Singapore, and modern day San Francisco. We'll look at how the long history of the design, maintenance, economics, and politics of physical infrastructure can inform how we approach our digital infrastructure—and where we'll need to draw a new map for ourselves.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
iCOmzYEGavo,Deep dive into GitHub's newest features - GitHub Universe 2019,GitHub,2019-12-16,19:59:49,827,20,20,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github desktop']","Presented by Jarryd McCree, Senior Product Manager at GitHubGitHub has shipped a lot of features in the past few months that you might not even know about. In this talk, I will show you some features that we’ve added, how you can use them as part of your day to day workflows, and dive a bit deeper into some of the new features we shared in our keynote.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
YoWkuFzEYFs,A data-driven look at practices behind exemplar open source projects - GitHub Universe 2019,GitHub,2019-12-16,19:59:49,464,8,8,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","Presented by:Stephen Magill, CEO at Muse DevGene Kim, Author, Researcher & Founder at IT RevolutionIn this session, you'll hear about the year-long collaboration between Gene Kim (researcher and co-author of “The Phoenix Project,” “DevOps Handbook,” “Accelerate”), Dr. Stephen Magill, (expert in software security and program analysis), and Sonatype (maintainers of the Maven Central Repository). They examined 10,000 open source Java components that were published to Maven Central and hosted on GitHub. They combined team and project performance metrics from GitHub, popularity data from Maven Central, and vulnerability and dependency data from Sonatype to examine what properties are shared by exemplary open source teams. They discuss these findings, including the differences we see between exemplary small teams and large teams, the fact that popularity does not predict security, and how remarkably difficult it is to keep dependencies patched while being “almost” up-to-date. They also highlight the organizational and technology practices they observe among exemplar open source teams, which release new versions 2x more frequently and remediate security vulnerabilities 3x more quickly, all while delivering a level of value that makes them standouts in terms of popularity and adoption.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
04TTRJArpVw,Ship happens: shipping pull requests at scale with the merge queue - GitHub Universe 2019,GitHub,2019-12-16,13:59:50,1173,34,34,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'pull requests', 'merge queue', 'ShipIt']","Presented by Jack Li, Production Engineer at ShopifyAt Shopify, developers merge and deploy over 400 pull requests each day to Shopify master. Two years ago, we built the merge queue as part of Shipit, an open source project, to control the thundering herd of merges and ensure ships happen quickly and safely. In this talk, Shopify will explore the design of the first iteration of the merge queue, what they've learned from that experience, and how they're evolving the merge queue to continuously scale developer productivity.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
Ll50l3fsoYs,Machine learning operations with GitHub Actions and Kubernetes - GitHub Universe 2019,GitHub,2019-12-16,13:59:56,2149,43,43,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'machine learning', 'kubernetes', 'github actions', 'devops']","Presented by:Hamel Husain, Staff Machine Learning Engineer at GitHubJeremy Lewi, Software Engineer at GoogleFrom automating mundane tasks to reducing inefficiencies in developers’ workflows, machine learning has the potential to scale your team’s results like never before. However, the practice of deploying machine learning for enterprises is relatively new. In this talk, Hamel and Jeremy will demonstrate how GitHub Actions and Kubernetes can be used to orchestrate machine learning workflows in new ways that increase transparency and reliability of these applications. By borrowing best practices and technologies from DevOps, they’ll help you learn how to deploy machine learning solutions with confidence.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
i5pIszu9MeM,Advanced patterns for GitHub's GraphQL API,GitHub,2019-12-16,07:59:47,2492,56,56,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'GraphQL', 'GitHub API']","Presented by Rea Loretta, CEO at ToastThe GitHub API is a key part of accelerating workflows at scale. This session will leave you with tactical tips for how to paginate effectively, create and plan queries, use tech-preview features, and manage costs learned from years of practice and iteration at Toast and beyond.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
